id,hymn_title,hymnal,hymn_number,tune_name,hymn_section,kernlieder_target,insert,is_active
361,"Come, Thou Fount of Every Blessing",LSB,686,Nettleton,Sanctification,0,0,1
362,"Thine Forever, God of Love",LSB,687,Vienna,Sanctification,0,0,1
363,"""Come, Follow Me,"" the Savior Spake",LSB,688,"Machs mit Mir, Gott",Sanctification,0,0,1
364,Let Me Be Thine Forever,LSB,689,Lob Gott Getrost mit Singen,Sanctification,0,0,1
365,Hope of the World,LSB,690,Eirene,Sanctification,0,0,1
366,"Fruitful Trees, the Spirit's Sowing",LSB,691,Dorothy,Sanctification,0,0,1
367,Praise to You and Adoration,LSB,692,Freu Dich Sehr,Sanctification,0,0,1
368,"O Holy Spirit, Grant Us Grace",LSB,693,Es Ist Gewisslich,Sanctification,0,0,1
369,"Thee Will I Love, My Strength, My Tower",LSB,694,Ich will Dich Lieben,Sanctification,0,0,1
370,Not for Tongues of Heaven's Angels,LSB,695,Bridegroom,Sanctification,0,0,1
371,"O God, My Faithful God",LSB,696,"O Gott, Du Frommer Gott",Sanctification,0,0,1
372,"Awake, O Sleeper, Rise from Death",LSB,697,Azmon,Sanctification,0,0,1
373,"May We Thy Precepts, Lord, Fulfill",LSB,698,Meribah,Sanctification,0,0,1
374,I Heard the Voice of Jesus Say,LSB,699,Sarah-Elizabeth,Sanctification,0,0,1
375,"Love Divine, All Loves Excelling",LSB,700,Hyfrydol,Sanctification,0,0,1
376,Draw us to Thee,LSB,701,Ach Gott und Herr,Sanctification,0,0,1
377,My Faith Looks Up to Thee,LSB,702,Olivet,Sanctification,0,0,1
378,"How Can I Thank You, Lord",LSB,703,"O Gott, Du Frommer Gott",Sanctification,0,0,1
379,"Renew Me, O Eternal Light",LSB,704,"Herr Jesu Christ, Meins",Sanctification,0,0,1
380,The Man Is Ever Blessed,LSB,705,St. Michael,Sanctification,0,0,1
381,Love in Christ Is Strong and Living,LSB,706,Dorothy,Sanctification,0,0,1
382,"Oh, That the Lord Would Guide my Ways",LSB,707,Evan,Sanctification,0,0,1
383,"Lord, Thee I Love with All My Heart",LSB,708,Herzlich Lieb,Trust,0,0,1
384,The King of Love My Shepherd Is,LSB,709,St. Columba,Trust,0,0,1
385,"The Lord's My Shepherd, I'll Not Want",LSB,710,Belmont,Trust,0,0,1
386,"Savior, like a Shepherd Lead Us",LSB,711,Bradbury,Trust,0,0,1
387,Seek Ye First,LSB,712,Seek Ye First,Trust,0,0,0
388,From God Can Nothing Move Me,LSB,713,Von Gott will Ich Nicht Lassen,Trust,0,0,1
389,Who Trusts in God a Strong Abode,LSB,714,Was Mein Gott Will,Trust,0,0,1
390,"Jesus, Savior, Pilot Me",LSB,715,Pilot,Trust,0,0,1
391,I Walk in Danger All the Way,LSB,716,Der Lieben Sonne Licht und Pracht,Trust,0,0,1
392,"Eternal Father, Strong to Save",LSB,717,Melita,Trust,0,0,1
393,"Jesus, Lead Thou On",LSB,718,Seelenbräutigam,Trust,0,0,1
394,I Leave All things to God's Direction,LSB,719,Wer Nur den Lieben Gott,Trust,0,0,1
395,We Walk by Faith and Not by Sight,LSB,720,Shanti,Trust,0,0,1
396,"Lead Me, Guide Me",LSB,721,Lead Me,Trust,0,0,1
397,"Lord, Take My Hand and Lead Me",LSB,722,So Nimm Denn Meine Hände,Trust,0,0,1
398,The Lord Is My Light,LSB,723,El Señor Es Mi Luz,Trust,0,0,1
399,If God Himself Be for Me,LSB,724,Ist Gott Für Mich,Trust,0,0,1
400,Children of the Heavenly Father,LSB,725,Tryggare Kan Ingen Vara,Trust,0,0,1
401,Evening and Morning,LSB,726,Die Güldne Sonne,Trust,0,0,1
402,On Eagles' Wings,LSB,727,On Eagles' Wings,Trust,0,0,0
403,How Firm a Foundation,LSB,728,Foundation,Trust,0,0,1
404,"I Am Trusting Thee, Lord Jesus",LSB,729,Stephanos,Trust,0,0,1
405,What Is the World to Me,LSB,730,Was Frag Ich Nach Der Welt,Trust,0,0,1
406,"O God, Forsake Me Not",LSB,731,"O Gott, Du Frommer Gott",Trust,0,0,1
407,All Depends on Our Possessing,LSB,732,Alles ist an Gottes Segen,Trust,0,0,1
408,"O God, Our Help in Ages Past",LSB,733,St. Anne,Trust,0,0,1
409,"I Trust, O Lord, Your Holy Name",LSB,734,In Dich Hab Ich Gehoffet,Trust,0,0,1
410,"Have No Fear, Little Flock",LSB,735,Little Flock,Trust,0,0,1
411,Consider How the Birds Above,LSB,736,Northcroft,Trust,0,0,1
412,"Rejoice, My Heart, Be Glad and Sing",LSB,737,Ich Singe Dir,Trust,0,0,1
413,Lord of All Hopefulness,LSB,738,Slane,Trust,0,0,1
414,"Precious Lord, Take My Hand",LSB,739,Precious Lord,Trust,0,0,1
415,I Am Jesus' Little Lamb,LSB,740,Weil Ich Jesu Schäflein Bin,Trust,0,0,1
416,"Jesus Christ, My Sure Defense",LSB,741,"Jesus, Meine Zuversicht",Hope and Comfort,0,0,1
417,For Me to Live Is Jesus,LSB,742,"Christus, Der Ist Mein Leben",Hope and Comfort,0,0,1
418,"Jesus, Priceless Treasure",LSB,743,"Jesu, Meine Freude",Hope and Comfort,0,0,1
419,Amazing Grace,LSB,744,New Britain,Hope and Comfort,0,0,0
420,"In God, My Faithful God",LSB,745,Aug Meinen Lieben Gott,Hope and Comfort,0,0,1
421,Through Jesus' Blood and Merit,LSB,746,Lob Gott Getrost mit Singen,Hope and Comfort,0,0,1
422,No Saint on Earth Lives Life to Self Alone,LSB,747,Song 1,Hope and Comfort,0,0,1
423,I'm But a Stranger Here,LSB,748,Heaven Is My Home,Hope and Comfort,0,0,0
424,There Is a Balm in Gilead,LSB,749,Balm in Gilead,Hope and Comfort,0,0,0
425,If Thou But Trust in God to Guide Thee,LSB,750,Wer Nur den Lieben Gott,Hope and Comfort,0,0,1
426,"O God of Love, O King of Peace",LSB,751,Nylunda,Hope and Comfort,0,0,1
427,"Be Still, My Soul",LSB,752,Finlandia,Hope and Comfort,0,0,1
428,All for Christ I Have Forsaken,LSB,753,Restoration,Hope and Comfort,0,0,1
429,Entrust Your Days and Burdens,LSB,754,Sufficientia,Hope and Comfort,0,0,1
430,In the Very Midst of Life,LSB,755,Mitten Wir im Leben Sind,Hope and Comfort,0,0,1
431,Why should Cross and Trial Grieve me,LSB,756,Warum Sollt Ich Mich Den Grämen,Hope and Comfort,0,0,1
432,"Lord, It Belongs Not to My Care",LSB,757,St. Fulbert,Hope and Comfort,0,0,1
433,The Will of God Is Always Best,LSB,758,Was Mein Gott Will,Hope and Comfort,0,0,1
434,This Body in the Grave We Lay,LSB,759,Nun Lasst Uns den Leib,Hope and Comfort,0,0,1
435,What God Ordains Is Always Good,LSB,760,Was Gott Tut,Hope and Comfort,0,0,1
436,"Rock of Ages, Cleft for Me",LSB,761,Toplady,Hope and Comfort,0,0,1
437,There is a Time for Everything,LSB,762,St. Peter's Norwalk,Hope and Comfort,0,0,1
438,When Peace Like a River,LSB,763,It Is Well,Hope and Comfort,0,0,1
439,When Aimless Violence Takes Those We Love,LSB,764,Sursum Corda,Hope and Comfort,0,0,1
440,God Moves in a Mysterious Way,LSB,765,Dundee,Hope and Comfort,0,0,1
441,"Our Father, Who from Heaven Above",LSB,766,Vater Unser,Prayer,0,0,1
442,"Jesus, Remember Me",LSB,767,Remember Me,Prayer,0,0,0
443,To God the Holy Spirit Let Us Pray,LSB,768,Nun Bitten Wir,Prayer,0,0,1
444,Eternal Spirit of the Living Christ,LSB,769,Farley Castle,Prayer,0,0,1
445,What a Friend We Have in Jesus,LSB,770,Converse,Prayer,0,0,1
446,"Be Still, My Soul, before the Lord",LSB,771,Shanti,Prayer,0,0,1
447,In Holy Conversation,LSB,772,Bred Dina Vida Vingar,Prayer,0,0,1
448,"Hear Us, Father, When We Pray",LSB,773,Morgenglanz der Ewigkeit,Prayer,0,0,1
449,"Feed Thy Children, God Most Holy",LSB,774,Schmücke Dich,Prayer,0,0,1
450,"Be Present at Our Table, Lord",LSB,775,Old Hundredth,Prayer,0,0,1
451,"Come, Lord Jesus, Be Our Guest",LSB,776,"Komm, Herr Jesu",Prayer,0,0,0
452,"Grant Peace, We Pray, in Mercy, Lord",LSB,777,Mendelssohn Da Pacem,Prayer,0,0,1
453,"Grant Peace, We Pray, in Mercy, Lord",LSB,778,Verleih Uns Frieden,Prayer,0,0,1
454,"Come, My Soul, with Every Care",LSB,779,Vienna,Prayer,0,0,1
455,"O Lord, Hear My Prayer",LSB,780,Hear My Prayer,Prayer,0,0,1
456,We Give Thee But Thine Own,LSB,781,Energy,Stewardship,0,0,1
457,"Gracious God, You Send Great Blessings",LSB,782,Holy Manna,Stewardship,0,0,1
458,Take My Life and Let It Be,LSB,783,Patmos,Stewardship,0,0,1
459,Take My Life and Let It Be,LSB,784,Hendon,Stewardship,0,0,0
460,"We Praise You, O God",LSB,785,Kremser,Stewardship,0,0,1
461,Lord of All Good,LSB,786,Farley Castle,Stewardship,0,0,1
462,The Temple Rang with Golden Coins,LSB,787,St. Flavian,Stewardship,0,0,1
463,"Forgive Us, Lord, fShallow Thankfulness",LSB,788,Sursum Corda,Stewardship,0,0,1
464,Praise and Thanksgiving,LSB,789,Bunessan,Stewardship,0,0,1
465,"Praise to the Lord, the Almighty",LSB,790,Lobe den Herren,Praise and Adoration,0,0,1
466,All People That on Earth Do Dwell,LSB,791,Old Hundredth,Praise and Adoration,0,0,1
467,New Songs of Celebration Render,LSB,792,Rendez à Dieu,Praise and Adoration,0,0,1
468,"Praise, My Soul, the King of Heaven",LSB,793,Lauda Anima,Praise and Adoration,0,0,1
469,"The Lord, My God, Be Praised",LSB,794,Nun Danket Alle Gott,Praise and Adoration,0,0,1
470,Voices Raised to You We Offer,LSB,795,Song of Praise,Praise and Adoration,0,0,1
471,When in Our Music God Is Glorified,LSB,796,Engelberg,Praise and Adoration,0,0,1
472,Praise the Almighty,LSB,797,"Lobe den Herren, O Meine Seele",Praise and Adoration,0,0,1
473,The God of Abraham Praise,LSB,798,Yigdal,Praise and Adoration,0,0,1
474,Alabaré - I,LSB,799,Alabaré,Praise and Adoration,0,0,0
475,Alabaré - II,LSB,800,Alabaré,Praise and Adoration,0,0,0
476,How Great Thou Art,LSB,801,O Store Gud,Praise and Adoration,0,0,0
477,"Immortal, Invisible, God Only Wise",LSB,802,St. Deno,Praise and Adoration,0,0,1
478,Joyful Joyful We Adore Thee,LSB,803,Hymn to Joy,Praise and Adoration,0,0,1
479,O Worship the King,LSB,804,Hanover,Praise and Adoration,0,0,1
480,"Praise God, from Whom All Blessings Flow",LSB,805,Old Hundredth,Praise and Adoration,0,0,1
481,Give Thanks with a Grateful Heart,LSB,806,Give Thanks,Praise and Adoration,0,0,0
482,When Morning Gilds the Skies,LSB,807,Laudes Domini,Praise and Adoration,0,0,1
483,O Sing to the Lord,LSB,808,Cantad Al Señor,Praise and Adoration,0,0,1
484,Great Is Thy Faithfulness,LSB,809,Faithfulness,Praise and Adoration,0,0,1
485,"O God of God, O Light of Light",LSB,810,O Grosser Gott,Praise and Adoration,0,0,1
486,"Oh, That I Had a Thousand Voices",LSB,811,O Dass Ich Tausand Zungen Hätte (König),Praise and Adoration,0,0,1
487,"Come, Let Us Join Our Cheerful Songs",LSB,812,Nun Danket All,Praise and Adoration,0,0,1
488,"Rejoice, O Pilgrim Throng",LSB,813,Marion,Praise and Adoration,0,0,1
489,"O Bless the Lord, My Soul",LSB,814,St. Thomas,Praise and Adoration,0,0,1
490,"All Praise to Thee, for Thou, O King Divine",LSB,815,Engelberg,Praise and Adoration,0,0,1
491,From All that Dwell Below the Skies,LSB,816,Lasst Uns Erfreuen,Praise and Adoration,0,0,1
492,Earth and All Stars,LSB,817,Earth and All Stars,Praise and Adoration,0,0,0
493,In Thee Is Gladness,LSB,818,In Dir Ist Freude,Praise and Adoration,0,0,1
494,"Sing Praise to God, the Highest Good",LSB,819,"Lobt Gott den Herren, Ihr",Praise and Adoration,0,0,1
495,"My Soul, Now Praise Your Maker",LSB,820,"Nun Lob, Mein Seel",Praise and Adoration,0,0,1
496,Alleluia! Sing to Jesus,LSB,821,Hyfrydol,Praise and Adoration,0,0,1
497,Alleluia! Let Praise Ring,LSB,822,Wie Schön Leuchtet,Praise and Adoration,0,0,1
498,May God Bestow on Us His Grace,LSB,823,Es Wolle Gott uns Gnädig Sein,Mission and Witness,0,0,1
499,May God Bestow on Us His Grace,LSB,824,Elvet Banks,Mission and Witness,0,0,0
500,"Rise, Shine, You People",LSB,825,Wojtkiewiecz,Mission and Witness,0,0,1
501,"Hark, the Voice of Jesus Crying",LSB,826,Galilean,Mission and Witness,0,0,1
502,"Hark, The Voice of Jesus Calling",LSB,827,Galilean,Mission and Witness,0,0,1
503,We Are Called to Stand Together,LSB,828,Ascended Triumph,Mission and Witness,0,0,1
504,Christ the Eternal Lord,LSB,829,Diademata,Mission and Witness,0,0,1
505,Spread the Reign of God the Lord,LSB,830,Gott Sei Dank,Mission and Witness,0,0,1
506,"""How Shall They Hear,"" Who Have Not Heard",LSB,831,Angelus (Du Meiner Seelen),Mission and Witness,0,0,1
507,Jesus Shall Reign,LSB,832,Duke Street,Mission and Witness,0,0,1
508,"Listen, God Is Calling",LSB,833,Neno Lake Mungu,Mission and Witness,0,0,1
509,"O God, O Lord of Heaven and Earth",LSB,834,Wittenberg New,Mission and Witness,0,0,1
510,On Galilee's High Mountain,LSB,835,Missionary Hymn,Mission and Witness,0,0,1
511,O God of Light,LSB,836,Atkinson,Mission and Witness,0,0,1
512,Lift High the Cross,LSB,837,Crucifer,Mission and Witness,0,0,1
513,The Saints in Christ Are One in Every Place,LSB,838,Woodlands,Mission and Witness,0,0,1
514,"O Christ, Our True and Only Light",LSB,839,"O Jesu Christe, Wahres Licht",Mission and Witness,0,0,1
515,"Christ High-Ascended, Now in Glory Seated",LSB,840,Iste Confessor,Mission and Witness,0,0,1
516,"O Son of God, in Galilee",LSB,841,Twenty-Fourth,Society,0,0,1
517,"Son of God, Eternal Savior",LSB,842,In Babilone,Society,0,0,1
518,"""Forgive Our Sins as We Forgive""",LSB,843,Detroit,Society,0,0,1
519,"Lord of All Nations, Grant Me Grace",LSB,844,Angelus (Du Meiner Seelen),Society,0,0,1
520,Where Charity and Love Prevail,LSB,845,Twenty-Fourth,Society,0,0,1
521,"Your Hand, O Lord, in Days of Old",LSB,846,Kingsfold,Society,0,0,1
522,"Christ, Our Human Likeness Sharing",LSB,847,Grafton,Society,0,0,1
523,"Lord, Whose Love Through Humble Service",LSB,848,Beach Spring,Society,0,0,1
524,Praise the One Who Breaks the Darkness,LSB,849,Beach Spring,Society,0,0,1
525,God of Grace and God of Glory,LSB,850,Cwm Rhondda,Society,0,0,1
526,"Lord of Glory, You Have Bought Us",LSB,851,Hyfrydol,Society,0,0,1
527,"O God of Mercy, God of Might",LSB,852,Isleworth,Society,0,0,1
528,"How Clear Is Our Vocation, Lord",LSB,853,Repton,Vocation,0,0,1
529,"Forth in Thy Name, O Lord, I Go",LSB,854,Lakewood,Vocation,0,0,1
530,For All the Faithful Women,LSB,855,Kuortane,Vocation,0,0,1
531,"O Christ, Who Called the Twelve",LSB,856,Terra Beata,Vocation,0,0,1
532,"Lord, Help Us Walk Your Servant Way",LSB,857,St. Flavian,Vocation,0,0,1
533,"O Father, All Creating",LSB,858,Aurelia,Marriage,0,0,1
534,"Lord, When You Came as Welcome Guest",LSB,859,Land of Rest,Marriage,0,0,1
535,"Gracious Savior, Grant Your Blessing",LSB,860,Hyfrydol,Marriage,0,0,1
536,Christ Be My Leader,LSB,861,Slane,Christian Home and Education,0,0,1
537,"Oh, Blest the House",LSB,862,Wo Gott zum Haus,Christian Home and Education,0,0,1
538,"Our Father, by Whose Name",LSB,863,Rhosymedre,Christian Home and Education,0,0,1
539,Shepherd of Tender Youth,LSB,864,Italian Hymn,Christian Home and Education,0,0,1
540,"Lord, Help Us Ever to Retain",LSB,865,"Herr Jesu Christ, Meins",Christian Home and Education,0,0,1
541,"Lord Jesus Christ, the Children's Friend",LSB,866,Wareham,Christian Home and Education,0,0,1
542,Let Children Hear the Mighty Deeds,LSB,867,Nun Danket All,Christian Home and Education,0,0,1
543,"Awake, My Soul, and with the Sun",LSB,868,Morning Hymn,Morning,0,0,1
544,With the Lord Begin Your Task,LSB,869,Fang Dein Werk,Morning,0,0,1
545,Now That the daylight fills the sky,LSB,870,Laurel,Morning,0,0,1
546,Greet the Rising Sun,LSB,871,Le P’ing,Morning,0,0,1
547,"Come, Thou Bright and Morning Star",LSB,872,Morgenglanz der Ewigkeit,Morning,0,0,1
548,"Christ, Whose Glory Fills the Skies",LSB,873,Ratisbon,Morning,0,0,1
549,O Splendor of God's Glory Bright,LSB,874,Putnam,Morning,0,0,1
550,"Father, We Praise Thee",LSB,875,Christe Sanctorum,Morning,0,0,1
551,"O Blessed, Holy Trinity",LSB,876,O Heilige Dreifaltigkeit,Morning,0,0,1
552,"God, Who Made the Earth and Heaven",LSB,877,Ar Hyd y Nos,Evening,0,0,1
553,Abide with Me,LSB,878,Eventide,Evening,0,0,1
554,Stay with Us,LSB,879,Stay with Us,Evening,0,0,1
555,Now Rest beneath Night's Shadow,LSB,880,"O Welt, Ich Muss Dich Lassen",Evening,0,0,1
556,"Christ, Mighty Savior",LSB,881,Innisfree Farm,Evening,0,0,1
557,"O Christ, Who Art the Light and Day",LSB,882,Conditor Alme Siderum,Evening,0,0,1
558,"All Praise to Thee, My God, This Night",LSB,883,Tallis’ Canon,Evening,0,0,1
559,"Lord, Support Us All Day Long",LSB,884,Gwalchmai,Evening,0,0,1
560,"I Lie, O Lord, within Your Care",LSB,885,"Ich Liege, Herr, in Deiner Hut",Evening,0,0,1
561,The Day Thou Gavest,LSB,886,St. Clement,Evening,0,0,1
562,Now the Light Has Gone Away,LSB,887,Müde Bin Ich,Evening,0,0,1
563,"O Gladsome Light, O Grace",LSB,888,Nunc Dimittis,Evening,0,0,1
564,Before the Ending of the Day,LSB,889,Jam Lucis,Evening,0,0,1
565,"O Blessed Light, O Trinity",LSB,890,O Heilige Dreifaltigkeit,Evening,0,0,1
566,"O Light, Whose Splendor",LSB,891,St. Clement,Evening,0,0,1
567,"Come, Ye Thankful People, Come",LSB,892,"St. George’s, Windsor",Harvest and Thanksgiving,0,0,1
568,Sing to the Lord of Harvest,LSB,893,Wie Lieblich Ist der Maien,Harvest and Thanksgiving,0,0,1
569,For the Fruits of His Creation,LSB,894,Ar Hyd y Nos,Harvest and Thanksgiving,0,0,1
570,Now Thank We All Our God,LSB,895,Nun Danket Alle Gott,Harvest and Thanksgiving,0,0,1
571,Now Greet the Swiftly Changing Year,LSB,896,Sixth Night,New Year,0,0,1
572,"O Rejoice, Ye Christians, Loudly",LSB,897,"Freuet Euch, Ihr Christen",New Year,0,0,1
573,The Ancient Law Departs,LSB,898,Potsdam,New Year,0,0,1
574,Across the Sky the Shades of Night,LSB,899,Allein Gott in der Höh,New Year,0,0,1
575,Jesus! Name of Wondrous Love,LSB,900,Gott Sei Dank,New Year,0,0,1
576,Open Now Thy Gates of Beauty,LSB,901,Unser Herrscher (Neander),Beginning of Service,0,0,1
577,"Lord Jesus Christ, Be Present Now",LSB,902,"Herr Jesu Christ, Dich zu Uns Wend",Beginning of Service,0,0,1
578,This Is the Day the Lord Has Made,LSB,903,Nun Danket All,Beginning of Service,0,0,1
579,"Blessed Jesus, at Your Word",LSB,904,"Liebster Jesu, Wir Sind Hier",Beginning of Service,0,0,1
580,"Come, Thou Almighty King",LSB,905,Italian Hymn,Beginning of Service,0,0,1
581,O Day of Rest and Gladness,LSB,906,Ellacombe,Beginning of Service,0,0,1
582,God Himself is Present,LSB,907,Wunderbarer König,Beginning of Service,0,0,1
583,"Lord, Open Now My Heart to Hear",LSB,908,"Erhalt Uns, Herr",Beginning of Service,0,0,1
584,Christ Is Made the Sure Foundation,LSB,909,Westminster Abbey,Beginning of Service,0,0,1
585,Now the Silence,LSB,910,Now,Beginning of Service,0,0,1
586,"Lord, This Day We've Come to Worship",LSB,911,Glorious Name,Beginning of Service,0,0,1
587,Christ Is Our Cornerstone,LSB,912,Darwall’s 148th,Beginning of Service,0,0,1
588,"O Holy Spirit, Enter In",LSB,913,Wie Schön Leuchtet,Beginning of Service,0,0,1
589,"Light of Light, O Sole-Begotten",LSB,914,Westminster Abbey,Beginning of Service,0,0,1
590,Today Your Mercy Calls Us,LSB,915,Anthes,Beginning of Service,0,0,1
591,Only-Begotten Word of God Eternal,LSB,916,Iste Confessor,Beginning of Service,0,0,1
592,"Savior, Again to Thy Dear Name We Raise",LSB,917,Ellers,Close of Service,0,0,1
593,"Guide me, O Thou Great Redeemer",LSB,918,Cwm Rhondda,Close of Service,0,0,1
594,"Abide, O Dearest Jesus",LSB,919,"Christus, Der Ist Mein Leben",Close of Service,0,0,1
595,Forth in the Peace of Christ We Go,LSB,920,Angelus (Du Meiner Seelen),Close of Service,0,0,1
596,On What Has Now Been Sown,LSB,921,Darwall’s 148th,Close of Service,0,0,1
597,"Go, My Children, with My Blessing",LSB,922,Ar Hyd y Nos,Close of Service,0,0,1
598,"Almighty Father, Bless the Word",LSB,923,Old Hundredth,Close of Service,0,0,1
599,"Lord, Dismiss Us with Your Blessing",LSB,924,Regent Square,Close of Service,0,0,1
600,Song of Moses and Israel,LSB,925,,Biblical Canticals,0,0,1
601,Song from Deuteronomy,LSB,926,,Biblical Canticals,0,0,1
602,First Song of Isaiah,LSB,927,,Biblical Canticals,0,0,1
603,Song of Hannah,LSB,928,,Biblical Canticals,0,0,1
604,I Will Greatly Rejoice in the Lord,LSB,929,,Biblical Canticals,0,0,1
605,"All You Works of God, Bless the Lord",LSB,930,Linstead,Biblical Canticals,0,0,1
606,All You Works of the Lord,LSB,931,,Biblical Canticals,0,0,1
607,Jesus Sat with His Disciples,LSB,932,Joyous Light,Biblical Canticals,0,0,1
608,My Soul Rejoices,LSB,933,In Dir Ist Freude,Biblical Canticals,0,0,1
609,My Soul Now Magnifies the Lord,LSB,934,Wo Gott zum Haus,Biblical Canticals,0,0,1
610,"Tell Out, My Soul, the Greatness of the Lord",LSB,935,Woodlands,Biblical Canticals,0,0,1
611,Sing Praise to the God of Israel,LSB,936,Den Signede Dag,Biblical Canticals,0,0,1
612,"Lord, Bid Your Servant Go in Peace",LSB,937,Land of Rest,Biblical Canticals,0,0,1
613,In Peace and Joy I Now Depart,LSB,938,Mit Fried und Freud,Biblical Canticals,0,0,1
614,You Are God; We Praise You,LSB,939,,Biblical Canticals,0,0,1
615,"Holy God, We Praise Thy Name",LSB,940,Grosser Gott,Biblical Canticals,0,0,1
616,"We Praise You and Acknowledge You, O God",LSB,941,That ted,Biblical Canticals,0,0,1
617,"Kyrie! God, Father",LSB,942,"Kyrie, Gott Vater",Liturgical Music,0,0,1
618,"Kyrie - I (Lord, Have Mercy)",LSB,943,,Liturgical Music,0,0,0
619,"Kyrie - II (Lord, Have Mercy)",LSB,944,,Liturgical Music,0,0,1
620,"Your Heart, O God, Is Grieved",LSB,945,"Známe to, Pane Bože Náš",Liturgical Music,0,0,1
621,"Glory to God, We Give You Thanks and Praise",LSB,946,Woodlands,Liturgical Music,0,0,1
622,All Glory Be to God on High,LSB,947,Allein Gott in der Höh,Liturgical Music,0,0,1
623,All glory be to God alone,LSB,948,All Ehr und Lob,Liturgical Music,0,0,1
624,Heavenly Hosts in Ceaseless Worship,LSB,949,Love’s Light,Liturgical Music,0,0,1
625,Splendor and Honor,LSB,950,Shades Mountain,Liturgical Music,0,0,1
626,Alleluia - I,LSB,951,,Liturgical Music,0,0,0
627,Alleluia - II,LSB,952,,Liturgical Music,0,0,1
628,We All Believe in One True God,LSB,953,Wir Glauben All (Metrical),Liturgical Music,0,0,1
629,We All Believe in One True God,LSB,954,Wir Glauben All (Chant),Liturgical Music,0,0,1
630,Let the Vineyards Be Fruitful,LSB,955,,Liturgical Music,0,0,0
631,Create in Me,LSB,956,"Schaffe in Mir, Gott",Liturgical Music,0,0,1
632,Our Father Who Art in Heaven - I,LSB,957,,Liturgical Music,0,0,1
633,Our Father Who Art in Heaven - IIa,LSB,958,Padre Nuestro,Liturgical Music,0,0,0
634,Our Father Who Art in Heaven - IIb,LSB,959,Padre Nuestro,Liturgical Music,0,0,0
635,"Isaiah, Mighty Seer in Days of Old",LSB,960,"Jesaia, dem Propheten",Liturgical Music,0,0,1
636,"Sanctus (Holy, Holy, Holy)",LSB,961,,Liturgical Music,0,0,0
637,Agnus Dei - I (Lamb of God),LSB,962,,Liturgical Music,0,0,0
638,Agnus Dei - II (Lamb of God),LSB,963,,Liturgical Music,0,0,0
639,Lift Every Voice and Sing,LSB,964,Lift Every Voice,Nation and National Songs,0,0,0
640,God Bless Our Native Land,LSB,965,National Anthem,Nation and National Songs,0,0,0
641,"Before You, Lord, We Bow",LSB,966,Darwall’s 148th,Nation and National Songs,0,0,1
642,"Ride On, Ride On in Majesty",LSB,967,,Lent,1,0,0
643,"My Lord, What a Morning",LSB,968,,End Times,1,0,0
644,Sweet Flow'rets of the Martyr Band,LSB,969,Das walt’ Gott Vater,Feasts and Festivals,1,0,1
645,Jesus Name above All Names,LSB,970,,Redeemer,1,0,0
646,There Is a Redeemer,LSB,971,,Redeemer,1,0,0
647,"I Trust, O Christ, in You Alone",LSB,972,,Trust,1,0,1
648,Thy Word Is a Lamp unto My Feet,LSB,973,,The Word of God,1,0,0
649,Jesus Sinners Doth Receive,LSB,974,,Confession and Absolution,1,0,0
650,Blest Be the Tie That Binds,LSB,975,,The Church,1,0,0
651,In the Morning When I Rise,LSB,976,,Morning,1,0,0
652,I Will Sing My Maker's Praises,LSB,977,,Praise and Adoration,1,0,1
653,How Majestic Is Your Name,LSB,978,,Praise and Adoration,1,0,0
654,"God, Whose Almighty Word",LSB,979,,The Word of God,1,0,1
655,"Jesu, Jesu, Fill Us with Your Love",LSB,980,,Redeemer,1,0,0
656,"To Your Temple, Lord, I Come",LSB,981,,Beginning of Service,1,0,1
657,"Blest Are They, the Poor in Spirit",LSB,982,,Biblical Canticals,1,0,0
658,Seek the Lord While He May Be Found,LSB,983,,Biblical Canticals,1,0,1
659,"Oh, that You Would Rend the Heavens",LSB,984,,Biblical Canticals,1,0,1
660,Song of Jonah,LSB,985,,Biblical Canticals,1,0,1
661,Song of Habakkuk,LSB,986,,Biblical Canticals,1,0,1
662,O Blessed Day When First Was Poured,TLH,115,Angelus (Du Meiner Seelen),New Year,1,0,1
663,"Jesus Christ, Our Lord Most Holy",TLH,169,Teshiniens,Good Friday,1,0,1
664,"Lo, Judah's Lion Wins the Strife",TLH,211,Judah’s Lion,Easter,1,0,1
665,"We Thank Thee Jesus, Dearest Friend",TLH,223,Erscheinen Ist,Ascension,1,0,1
666,"O Lord, Look Down from Heaven Behold",TLH,260,Ach Gott vom Himmel,Reformation,1,0,1
667,"O God, Our Lord, Thy Holy Word",TLH,266,O Herre Gott,Reformation,1,0,1
668,If God Had Not Been on Our Side,TLH,267,Wär’ Gott Nicht mit Uns,Reformation,1,0,1
669,Zion Mourns in Fear and Anguish,TLH,268,Zion klagt,Reformation,1,0,1
670,Jesus Calls Us; o’er the Tumult,TLH,270,Stuttgart,St. Andrew,1,0,1
671,"Word Supreme, Before Creation",TLH,271,"Sieh, Hier Bin Ich",St. John the Apostle,1,0,1
672,"Delay Not, Delay Not, O Sinner Draw Near",TLH,278,Maldwyn,Invitation,1,0,1
673,"Rise Again, Ye Lion-Hearted",TLH,470,"Löwen, Lasst Euch Wiederfinden",Communion of Saints,1,0,1
674,Hark! The Sound of Holy Voices,TLH,471,O Durchbrecher,Communion of Saints,1,0,1
675,"Rise, Ye Children of Salvation",TLH,472,Unser Herrscher (Neander),Communion of Saints,1,0,1
